,Game Day,Home,Final Score,Away,HT Score,Goal Details
1,17 Aug,Valencia,1 - 2,FC Barcelona,1-1, 1-0 Hugo Duro (44)  1-1 Robert Lewandowski (45) ---------------------------------------  1-2 Robert Lewandowski (49) pen.
2,24 Aug,FC Barcelona,2 - 1,Athletic Bilbao,1-1, 1-0 Lamine Yamal (24)  1-1 Oihan Sancet (42) pen. --------------------------------------- 2-1 Robert Lewandowski (75)
3,27 Aug,Rayo Vallecano,1 - 2,FC Barcelona,1-0, 1-0 Unai López (9) ---------------------------------------  1-1 Pedri (60)  1-2 Dani Olmo (82)
4,31 Aug,FC Barcelona,7 - 0,Valladolid,3-0, 1-0 Raphinha (20) 2-0 Robert Lewandowski (24) 3-0 Jules Koundé (45) --------------------------------------- 4-0 Raphinha (64) 5-0 Raphinha (72) 6-0 Dani Olmo (82) 7-0 Ferran Torres (85)
5,15 Sep,Girona,1 - 4,FC Barcelona,0-2,  0-1 Lamine Yamal (30)  0-2 Lamine Yamal (37) ---------------------------------------  0-3 Dani Olmo (47)  0-4 Pedri (64) 1-4 C. Stuani (80)
6,22 Sep,Villarreal,1 - 5,FC Barcelona,1-2,  0-1 Robert Lewandowski (20)  0-2 Robert Lewandowski (35) 1-2 Ayoze Pérez (38) ---------------------------------------  1-3 Pablo Torre (58)  1-4 Raphinha (74)  1-5 Raphinha (83)
7,25 Sep,FC Barcelona,1 - 0,Getafe,1-0, 1-0 Robert Lewandowski (19)
8,28 Sep,Osasuna,4 - 2,FC Barcelona,2-0, 1-0 Ante Budimir (18) 2-0 Bryan Zaragoza (28) ---------------------------------------  2-1 Pau Víctor (53) 3-1 Ante Budimir (72) pen. 4-1 Abel Bretones (85)  4-2 Lamine Yamal (89)
9,6 Oct,Alaves,0 - 3,FC Barcelona,0-3,  0-1 Robert Lewandowski (7)  0-2 Robert Lewandowski (22)  0-3 Robert Lewandowski (32)
10,20 Oct,FC Barcelona,5 - 1,Sevilla FC,3-0, 1-0 Robert Lewandowski (24) pen. 2-0 Pedri (28) 3-0 Robert Lewandowski (39) --------------------------------------- 4-0 Pablo Torre (82)  4-1 S. Muzambo (87) 5-1 Pablo Torre (88)
11,26 Oct,Real Madrid,0 - 4,FC Barcelona,0-0, ---------------------------------------  0-1 Robert Lewandowski (54)  0-2 Robert Lewandowski (56)  0-3 Lamine Yamal (77)  0-4 Raphinha (84)
12,3 Nov,FC Barcelona,3 - 1,Espanyol,3-0, 1-0 Dani Olmo (12) 2-0 Raphinha (23) 3-0 Dani Olmo (31) ---------------------------------------  3-1 Javi Puado (63)
13,10 Nov,Real Sociedad,1 - 0,FC Barcelona,1-0, 1-0 Sheraldo Becker (33)
14,23 Nov,Celta Vigo,2 - 2,FC Barcelona,0-1,  0-1 Raphinha (15) ---------------------------------------  0-2 Robert Lewandowski (61) 1-2 Alfon González (84) 2-2 Hugo Álvarez (86)
15,30 Nov,FC Barcelona,1 - 2,Las Palmas,0-0, ---------------------------------------  0-1 Sandro Ramírez (49) 1-1 Raphinha (61)  1-2 Fábio Silva (67)
16,3 Dec,Mallorca,1 - 5,FC Barcelona,1-1,  0-1 Ferran Torres (12) 1-1 Vedat Muriqi (43) ---------------------------------------  1-2 Raphinha (56) pen.  1-3 Raphinha (74)  1-4 Frenkie de Jong (79)  1-5 Pau Víctor (84)
17,7 Dec,Real Betis,2 - 2,FC Barcelona,0-1,  0-1 Robert Lewandowski (39) --------------------------------------- 1-1 Giovani Lo Celso (68) pen.  1-2 Ferran Torres (82) 2-2 Assane Diao (90)
18,15 Dec,FC Barcelona,0 - 1,Leganes,0-1,  0-1 Sergio González (4)
